"id2","variable","value","p"
305002,"X75_to_79_years",10,0.874125874125874
305002,"X80_to_84_years",17,1.48601398601399
305002,"X85_years_and_over",26,2.27272727272727
305003,"Xunder_5_years",78,6.34146341463415
305003,"X5_to_9_years",51,4.14634146341463
305003,"X10_to_14_years",48,3.90243902439024
305003,"X15_to_17_years",50,4.0650406504065
305003,"X18_to_21_years",54,4.39024390243902
305003,"X22_to_24_years",62,5.04065040650407
305003,"X25_to_29_years",120,9.75609756097561
305003,"X30_to_34_years",86,6.99186991869919
305003,"X35_to_39_years",87,7.07317073170732
305003,"X40_to_44_years",96,7.80487804878049
305003,"X45_to_49_years",117,9.51219512195122
305003,"X50_to_54_years",87,7.07317073170732
305003,"X55_to_59_years",91,7.39837398373984
305003,"X60_and_61_years",18,1.46341463414634
305003,"X62_to_64_years",33,2.68292682926829
305003,"X65_and_66_years",26,2.11382113821138
305003,"X67_to_69_years",31,2.52032520325203
305003,"X70_to_74_years",18,1.46341463414634
305003,"X75_to_79_years",26,2.11382113821138
305003,"X80_to_84_years",26,2.11382113821138
305003,"X85_years_and_over",25,2.03252032520325
306011,"Xunder_5_years",42,4.84988452655889
306011,"X5_to_9_years",40,4.6189376443418
306011,"X10_to_14_years",55,6.35103926096998
306011,"X15_to_17_years",36,4.15704387990762
306011,"X18_to_21_years",48,5.54272517321016
306011,"X22_to_24_years",40,4.6189376443418
306011,"X25_to_29_years",50,5.77367205542725
306011,"X30_to_34_years",54,6.23556581986143
306011,"X35_to_39_years",48,5.54272517321016
306011,"X40_to_44_years",73,8.42956120092379
306011,"X45_to_49_years",79,9.12240184757506
306011,"X50_to_54_years",69,7.96766743648961
306011,"X55_to_59_years",56,6.46651270207852
306011,"X60_and_61_years",25,2.88683602771363
306011,"X62_to_64_years",35,4.04157043879908
306011,"X65_and_66_years",11,1.270207852194
306011,"X67_to_69_years",24,2.77136258660508
306011,"X70_to_74_years",30,3.46420323325635
306011,"X75_to_79_years",22,2.54041570438799
306011,"X80_to_84_years",16,1.84757505773672
306011,"X85_years_and_over",13,1.50115473441109
306012,"Xunder_5_years",51,3.76940133037694
306012,"X5_to_9_years",81,5.98669623059867
306012,"X10_to_14_years",69,5.09977827050998
306012,"X15_to_17_years",34,2.51293422025129
306012,"X18_to_21_years",47,3.47376201034738
306012,"X22_to_24_years",41,3.03030303030303
306012,"X25_to_29_years",58,4.28677014042868
306012,"X30_to_34_years",71,5.24759793052476
306012,"X35_to_39_years",72,5.32150776053215
306012,"X40_to_44_years",81,5.98669623059867
306012,"X45_to_49_years",121,8.94308943089431
