HOME,BMI_M,CAR_AGE,MILE_M,NOBS,BLUE,WHITE,PINK,GOVT,P_TDI,P_UI,AVG_MATH,AVG_VERBAL,SAT_TAKE,NOBS_SAT_TAKE,AVG_AP,AP_TAKE,NOBS_AP_TAKE,N_PRISONERS,av_above0_math,av_above0_read,av_va_math_elem,av_va_math_middle,av_va_read_elem,av_va_read_middle,va_read,va_math,population,over_18,PROPORTION_PRISONERS,bg_id
155004.0,26.08,9.97,43395.0,2262.0,40.86,46.18,11.3,1.66,1.06,1.86,,,33.33,15.0,,6.67,15.0,41.0,,0.1666667,,-0.0146536,-0.121869,-0.1404792,17.0,,792,602.0,6.81,0155004
156001.0,26.63,9.43,37240.0,2009.0,39.27,43.32,14.57,2.83,1.0,0.85,,,30.77,13.0,,0.0,13.0,38.0,,0.0625,,,-0.0816934,,6.0,,644,523.0,7.27,0156001
156002.0,26.15,9.8,44292.0,2216.0,37.1,43.82,15.9,3.18,1.08,1.53,,,14.29,14.0,,14.29,14.0,42.0,0.6190476,0.4166667,,0.0593036,-0.0339673,-0.0651579,42.0,62.0,656,504.0,8.33,0156002
156003.0,26.6,10.0,54262.0,3328.0,39.42,42.98,16.04,1.56,1.23,1.59,452.14,450.71,24.14,29.0,,13.79,29.0,54.0,0.7,0.4642857,,0.0222718,-0.029499,-0.0407804,46.0,70.0,1099,829.0,6.51,0156003
157001.0,25.59,8.66,32616.0,2786.0,27.95,50.0,16.15,5.9,0.75,0.93,456.36,458.18,46.15,13.0,,53.85,13.0,11.0,,0.1818182,,,,,18.0,,742,611.0,1.8,0157001
157002.0,26.44,9.55,43000.0,3683.0,31.98,47.33,16.63,4.05,1.25,1.33,400.91,408.18,19.05,21.0,,14.29,21.0,31.0,0.6842105,0.4230769,,0.1174071,-0.0341578,-0.0479323,42.0,68.0,1248,983.0,3.15,0157002
157003.0,26.1,9.03,33501.0,3599.0,31.41,47.34,16.63,4.62,1.17,1.06,434.29,438.57,34.48,29.0,,6.9,29.0,14.0,0.8181818,0.3125,,0.0893612,-0.0635396,-0.0212376,31.0,82.0,1097,890.0,1.57,0157003
157004.0,26.32,8.93,38670.0,1413.0,33.15,50.56,13.48,2.81,1.27,1.06,,,33.33,11.0,,8.33,11.0,22.0,,0.2727273,,,-0.086963,,27.0,,524,411.0,5.35,0157004
158001.0,25.97,9.22,25112.0,2890.0,30.66,48.42,13.18,7.74,0.76,1.14,389.09,413.64,,,,,,12.0,,0.1666667,,,,-0.0794637,17.0,,817,662.0,1.81,0158001
158002.0,26.22,8.84,39662.0,2367.0,32.34,51.49,12.87,3.3,0.76,1.1,465.0,469.44,50.0,18.0,,33.33,18.0,22.0,,0.0666667,,0.0684523,-0.0741738,-0.1298173,7.0,,785,590.0,3.73,0158002
